Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,11.5611927566893,13.0207437952904,13.1251461222574,13.4674417329858,13.8493099484698,15.157971390293,12.3798741053662,12.9299128513563,10.4399989344901,8.41930913694091,9.42960119387252,8.71100441313356
Australia,61.2969543313913,63.3659348115011,65.5260506109936,64.2151108750498,63.6685162166664,64.8908594986989,64.2338295439127,64.1102237951684,65.1590220954383,65.8528143242161,64.5044072321797,64.4337554195615
Brazil,22.934621145859,24.6459390867198,22.7387240627374,23.6101635367343,24.1517505460028,22.8635831935793,24.3554894088657,25.0152110534747,24.5014403352307,24.8513226580388,26.917309184413,28.34027293082
Canada,52.770415828113,53.8083962392606,53.0428979797429,53.1394723336899,54.0700413393478,54.0111395589094,54.3630746164171,54.4590370922338,55.218037219583,54.516900352297,56.4623892343843,54.5935210173245
China,23.1134116649566,24.9031059701748,25.9627084854364,28.2651065244612,19.881720552938,20.6405207284472,21.2323232171311,19.1020651229559,20.1080529199914,18.9002988647788,21.1515829490293,
Germany,14.9595341247028,15.3936817045961,16.0964073727751,16.454260078602,16.4834798787981,16.7949586929979,17.3417604672811,17.714533070702,17.9626965138034,17.823546759707,17.3262634698005,17.4940747868608
France,23.2468559389986,24.4277734313522,25.4904499410762,25.8634230844851,25.4352218692205,25.4882244795251,25.2832517565568,25.682046495826,27.4546261014869,28.2459903100941,28.5894918943163,28.4446505675505
United Kingdom,32.4550606102489,36.7273570891617,34.467116635829,33.8688636571895,34.13292846952,34.1399678669313,34.6680053727534,34.5852486418721,34.5097170002353,33.9634452345869,35.6706999574999,37.1898482559219
Indonesia,35.8837315880877,35.6160830090791,34.7591144860162,35.2013623410023,35.2515101603578,39.9883726135378,42.8233538606091,38.8197326535585,38.5953178423691,39.3958179139245,36.0969944479161,34.6464084422464
India,43.3847617348911,48.3843778852168,44.8389100348776,46.5792127739105,47.6731165160931,42.8559410359832,42.4694776143911,45.7720465050099,45.6466190242604,,,
Italy,33.1953757114933,32.6204815013455,33.2373221477231,33.4885551356417,32.7239608345747,32.70388705263,32.1620716272702,32.1462898195621,31.3856175194188,31.7756177089113,33.1196788138652,32.2746427103266
Japan,,,,,,,,,,,,
"Korea, Rep.",28.1172963225539,30.326868933558,24.4919520890294,24.0414833918623,24.9154837374723,26.1989370967282,27.2066306975652,28.340191337644,30.4220493420188,29.375305182623,28.0550993883487,30.4002363338873
Mexico,28.2840104220086,27.8520309847628,27.0774579907313,31.2724165722652,30.5145999517275,34.7222831247457,35.7061875408665,35.7564754229319,37.7039369151597,36.3995172352333,39.3648892506012,38.8558594371358
Russian Federation,2.16169441905979,1.70058342405717,1.90039628867499,1.71916258497495,1.8965976017629,1.89970540940349,-1.35085685022672,2.0728372755302,2.27446536283283,2.61335018425862,2.08946691839044,2.68807463275334
Saudi Arabia,0.961703287877949,0.84758351006237,1.00374076341095,1.0624591687207,1.33876080262195,2.38259228913618,2.82125890232954,2.02651444937161,1.84749321610648,1.85562265705116,2.3162205788399,
Turkiye,17.3218280049528,17.5711229515726,17.6734981788898,16.349422029491,17.5696443036587,16.8986574703895,17.4384248187395,18.0984892598542,19.2537161083695,18.5154414747937,18.2116902375074,20.8303190028014
United States,47.6566685979309,52.7836758978422,53.5347512726747,51.1209313192198,53.1188282262465,54.1866136675737,53.9728907873612,49.5066740760062,51.6208893600031,52.0211762629378,52.2614358878676,55.5538307294192
South Africa,48.5236686577664,49.2109895530645,48.2038095660272,47.7648434105129,46.9461414430563,46.1919672985704,47.9587614403457,48.3779421020783,48.4847621783109,47.4790211471673,46.2425145489588,50.2280996685048
