Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,15.6701983126057,15.326104507233,13.8779429492198,10.7173488501633,10.7564308889433,8.04531805696767,7.11252576635238,6.40974557980346,7.44936072469368,13.1642290849889,13.3819965450646,15.0422483510236
Australia,1.89229485907953,1.80893282567142,2.0201819497864,2.17261983800292,2.38092187039481,2.73409564818091,3.40587505572677,3.23994472391603,3.27177639316368,3.10036518350568,3.82948232199297,3.31960164047632
Brazil,1.87063532805955,2.09201542525418,2.17837813385243,2.42007377329721,2.32402511437719,2.22122029251836,1.69004335608756,1.76428761907509,2.03225589606611,1.99212523357291,2.33719464510894,2.51835939037966
Canada,1.21743813600159,1.27494511990595,1.28395568716654,1.29257841724839,1.32851237236035,1.45111844764857,1.50180939230326,1.44451689021361,1.5961224986095,1.29246310785382,0.946757009257599,1.11646421144262
China,4.43867415605105,4.7209375352172,4.70879547674531,4.11621496859936,2.83756414747942,2.35971757942166,2.27305914647431,2.10943424451054,1.90614917225662,1.85059846535453,1.83367433279064,
Germany,0,0,0,0,0,0,0,0,0,0,0,0
France,-0.0126182229642101,-0.00193878458734681,-0.0138847676902602,-0.00403853613692763,-0.0121068913260386,-0.0123250105276132,-0.0114701481780735,-0.0123986265836317,-0.0121404932290462,-0.0112033009861753,0.00310351628394972,0.00387249175481964
United Kingdom,0,0,0,0,0,0,0,0,0,0.00373716018536315,0.0360266033949445,0.630593774627667
Indonesia,2.90595653502283,4.47111452576272,3.7112886590233,3.29863765899771,2.77757645550129,2.28440172449563,2.2227204640417,2.31860186592407,2.34708042095042,2.05949013475118,2.19693170644689,3.63120599325441
India,13.4578911382621,14.8246284585373,14.8663024955806,13.2103336648118,13.0409600244063,12.2883375942345,11.2889250411133,6.20749165783108,4.50855543479306,,,
Italy,0,0,0,0,0,0,0,0,0,0,0,0
Japan,,,,,,,,,,,,
"Korea, Rep.",4.01320534152715,3.82393979177076,2.49506271891902,2.76211907298202,2.1876184474668,2.04789718590996,1.79894202143476,1.77729743919933,1.58431024321965,1.41860245113873,1.29729918484293,1.3769641896469
Mexico,1.10065720425711,1.07946381599869,1.05070741176662,1.05605642476601,1.14788131264502,1.28402745684464,1.30191062091723,1.22699361864329,1.51654794237112,1.42492791764381,1.31903129771378,1.5769812245324
Russian Federation,25.5836898417345,25.6131535605617,26.4850299716335,25.4059133881191,25.1073881941772,13.226539517467,10.1291638184448,9.16423559010986,10.8108272343481,8.37175584789441,4.94036059620611,7.89202363542492
Saudi Arabia,1.64333158314583,1.28488720660743,1.43292978868658,1.52697055115829,1.87676478477437,3.52117043744512,4.978737500333,2.90928165175134,1.78291099134267,1.87415662313999,2.27403065639727,
Turkiye,0.913563116093508,1.11847376154629,1.10299530982779,1.21295626765238,1.10556308535871,1.21136468209488,1.20362653887301,1.44867906371425,1.4440062967353,1.36946051672665,1.74382209075901,1.68208147993313
United States,1.15831308826566,1.22890096386127,1.23034186155648,1.11964178029104,1.12525598880307,1.09656370536651,1.07535402823998,1.02048884470795,1.4743256116899,2.08625397289042,1.83025998622452,2.04791206923186
South Africa,3.39536417627728,3.88135336153294,4.0715867609078,4.11876794597464,3.37036463033972,3.48842028658331,3.26498260863232,3.39462631629264,3.65718608893185,3.39332205956281,2.98128731500853,3.24123848291186
